Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гайворонський,Антон,Віталійович,Чоловік,18-10-1949,Футболіст,хутір Кобеляки,"узвіз Раїси Сергієнко, буд. 14, Василівка , 40832",+380 (95) 432-96-84,isaievychherman@example.org
Сірко,Олекса,Зорянович,Чоловік,09-06-1959,Епідеміолог,хутір Мала Виска,"шосе Ракетна, буд. 110 кв. 293, Ворожба, 97136",+380 (93) 868-11-54,qmamchur@example.org
Бараник,Ілля,Венедиктович,Чоловік,05-02-1979,Мінералог,селище Ічня,"сквер Кавказька, буд. 795, Верхньодніпровськ, 85886",032 191-41-02,yumanets@example.net
Ільченко,Валентин,Валентинович,Чоловік,12-03-1994,Інженер,місто Корсунь-Шевченківський,"площа Тульська, буд. 588 кв. 37, Трускавець, 17887",+380 89 911-19-69,okseniia67@example.com
Нестайко,Аарон,Глібович,Чоловік,24-09-1990,Конструктор,село Арциз,"узвіз Куликове поле, буд. 90, Кременчук, 34123",+380 44 463-19-90,albina82@example.net
Іваненко,Теодор,Йосипович,Чоловік,17-07-1997,Клоун,село Горлівка,"проспект Бабеля, буд. 7 кв. 6, Устилуг, 55240",+380 (93) 967-23-01,tvdovenko@example.net
Філіпенко,Максим,Бориславович,Чоловік,30-07-1965,Золотар,місто Броди,"провулок Чорноморський 2-й, буд. 236, Ананьїв, 95539",+380 43 523-35-95,bohodar18@example.org
Власенко,Альберт,Соломонович,Чоловік,27-01-1991,Хімік,місто Чортків,"проспект Моторний 3-й, буд. 817, Кам'янець-Подільський, 17557",315 93 86,alberthavryshkevych@example.org
Опанасенко,Андрій,Юхимович,Чоловік,02-05-1939,Доцент,село Червоносів,"набережна 10-та Лінія Марії Демченко, буд. 352 кв. 0, Ржищів, 11011",069 443-27-56,trokhym89@example.org
Баштан,Августин,Орестович,Чоловік,12-03-1976,Режисер,село Гребінка,"набережна Коцюбинського, буд. 0, Вашківці, 74826",+380 89 439 24 39,avhustynkarmaliuk@example.org
Шахрай,Вадим,Адамович,Чоловік,25-06-1974,Підприємець,селище Любомль,"проспект Оборони Ленінграду, буд. 460, Кам'янка (Черкаська область), 10437",893 90 31,mykolaichumachenko@example.org
Вертипорох,Петро,Миронович,Чоловік,14-10-1939,Журналіст,село Заставна,"парк Гвоздичний, буд. 2 кв. 3, Буча, 93967",+380 99 854-42-62,khrystynalupii@example.org
Перебийніс,Едуард,Олександрович,Чоловік,17-11-1983,Педагог,село Коростишів,"узвіз Маріїнська, буд. 22 кв. 8, Гадяч, 52900",+380 (12) 244-10-93,tiahnybokanastasiia@example.net
Токар,Тимофій,Панасович,Чоловік,20-04-1975,Стиліст,місто Гайворон,"вулиця 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 200 кв. 65, Заводське, 87542",+380 (81) 166-23-84,vermenychnataliia@example.org
Асаула,Юстим,Романович,Чоловік,16-01-1993,Кінолог,селище Роздільна,"провулок Слобідський узвіз, буд. 252, Козятин, 56814",017 884-71-75,anitabevz@example.com
Гайденко,Віталій,Демидович,Чоловік,18-05-1961,Геофізик,хутір Первомайський ,"провулок Лінія 24-та, буд. 9 кв. 01, Гола Пристань, 91421",396-29-23,viacheslavvoblyi@example.net
Забарний,Аарон,Яремович,Чоловік,28-11-1974,Соціолог,селище Угнів,"сквер 3-тя Суворовська, буд. 455, Світлодарськ, 53098",+380 67 695 57 59,svystunmyroslav@example.com
Ребрик,Алевтин,Аврелійович,Чоловік,28-05-1991,Живописець,селище Новоселиця,"узвіз Цементний, буд. 146, Павлоград, 03294",007 552 59 86,konopliarostyslav@example.net
Захаренко,Франц,Омелянович,Чоловік,30-01-1958,Провізор,село Погребище,"узвіз Лінія 39-та, буд. 9 кв. 00, Долинська, 68742",098 451 73 93,anzhelachervonenko@example.org
Юрченко,Семен,Яремович,Чоловік,04-02-1984,Золотар,хутір П'ятихатки,"узвіз Бокаріуса Миколи, буд. 6 кв. 20, Вознесенівка, 17520",081 889-10-53,danyliukielysei@example.net
Дуплій,Хома,Захарович,Чоловік,11-02-2000,Промисловець,хутір Чоп,"вулиця Гілельса, буд. 3 кв. 74, Жовті Води, 17594",056 478-83-14,dubasmaryna@example.net
Гайдамака,Демʼян,Федорович,Чоловік,01-03-1952,Сценарист,місто Помічна,"провулок Гоголя, буд. 19 кв. 794, Єнакієве, 58532",+380 44 157 44 50,leon09@example.com
Тарасенко,Данило,Федорович,Чоловік,02-03-1997,Клавішник,місто Рава-Руська,"проспект Ільфа і Петрова, буд. 13 кв. 03, Любомль, 89762",+380 02 218-23-38,marko81@example.com
Христич,Володимир,Станіславович,Чоловік,02-12-1945,Публіцист,селище Сновськ,"набережна Радісний, буд. 630, Андрушівка, 45729",073 368-86-56,roman61@example.net
Гречко,Остап,Симонович,Чоловік,05-03-1986,Складальник,місто Острог,"набережна Довга, буд. 85, Одеса, 80434",653 08 36,ulavrenko@example.net
Гайда,Соломон,Михайлович,Чоловік,13-09-1993,Кінокритик,селище Алчевськ,"набережна Кропивницького, буд. 6, Скалат, 25225",+380 00 236-20-57,valeriimazepa@example.net
Височан,Соломон,Амвросійович,Чоловік,06-05-1953,Краєзнавець,місто Виноградів,"проспект Азербайджан, буд. 094 кв. 052, Охтирка, 58532",409-89-75,omelianvasylevych@example.org
Штокало,Мартин,Лукʼянович,Чоловік,17-09-1976,Клоун,село Кролевець,"сквер Аеропортівський 6-й, буд. 208 кв. 695, Рівне, 75753",683-69-80,petrozatovkaniuk@example.org
Романенко,Олег,Демидович,Чоловік,12-08-1999,Електротехнік,село Чистякове,"проспект Лучиста, буд. 918 кв. 58, Вовчанськ, 89472",592-28-78,zoriandankevych@example.com
Худяк,Опанас,Богуславович,Чоловік,18-09-1960,Маркетолог,хутір Богодухів,"шосе Рекордний, буд. 924 кв. 4, Болград, 99416",+380 (75) 094-76-51,sdrozd@example.net
Ващенко,Григорій,Владиславович,Чоловік,11-04-1955,Машиніст,селище Дебальцеве,"парк Проектна 1-ша, буд. 297 кв. 663, Чорноморськ, 80663",021 102 31 21,avreliivashchuk@example.org
Якимчук,Остап,Ааронович,Чоловік,07-08-1993,Фізик,село Олександрівськ,"вулиця Кавказька, буд. 76 кв. 42, Єнакієве, 59682",+380 67 173-00-40,ivan21@example.net
Штепа,Віктор,Омелянович,Чоловік,30-11-1941,Юрист,місто Торецьк,"шосе Садова, буд. 656, Луцьк, 77003",+380 06 829-17-55,oleksandr55@example.com
Таран,Йосип,Гордійович,Чоловік,08-10-1950,Локсмайстер,хутір Залізне,"проспект Василя Стуса, буд. 7 кв. 42, Луцьк, 07107",377 79 62,batiukmaryna@example.com
Масоха,Олександр,Азарович,Чоловік,13-07-1984,Астрофізик,місто Звенигородка,"проспект Розкидайлівська, буд. 625 кв. 855, Новоазовськ, 68063",070 371-42-50,fomenkoboryslav@example.com
Ковпак,Костянтин,Йосипович,Чоловік,12-06-1947,Юрист,селище Сторожинець,"вулиця Немировича-Данченка, буд. 58 кв. 9, Красноперекопськ, 51716",+380 22 816 53 43,fbandurka@example.org
Єрошенко,Геннадій,Данилович,Чоловік,15-05-1942,Скульптор,село Долинська,"сквер Андросовський, буд. 8, Баштанка, 23245",035 168-22-31,leopolddeisun@example.org
Баранник,Охрім,Сергійович,Чоловік,16-12-1993,Журналіст,хутір Вишневе ,"провулок Дубова, буд. 05 кв. 49, Снятин, 20132",066 822-73-56,zynovii22@example.net
Колісниченко,Орест,Адамович,Чоловік,19-08-1966,Географ,селище Мелітополь,"набережна Віри Інбер, буд. 584 кв. 10, Козятин, 55695",030 529-69-31,serhiivelychko@example.org
Голобородько,Тимофій,Юхимович,Чоловік,25-07-1941,Намотувальник,хутір Яготин,"провулок Касима Юрія, буд. 94, Балта, 35852",334-22-14,verhunomelian@example.net
Бебешко,Олег,Андрійович,Чоловік,15-07-1982,Архітектор,селище Корсунь-Шевченківський,"парк Платанова, буд. 8, Миколаївка , 51217",106 58 30,sofiia55@example.org
Сич,Антон,Лукʼянович,Чоловік,08-08-2000,Письменник,місто Турка,"шосе Кощового отамана, буд. 732 кв. 081, Малин, 51669",+380 52 346-88-39,tdevdiuk@example.com
Франчук,Пилип,Юстимович,Чоловік,16-02-1983,Різноробочий,селище Мелітополь,"набережна Одарія, буд. 33 кв. 860, Броди, 37061",+380 10 410 66 69,leskolesnychenko@example.com
Ващук,Степан,Антонович,Чоловік,28-04-1956,Геофізик,село Нова Одеса,"площа Лінія 27-ма, буд. 60, Святогірськ, 47379",023 120-17-32,vasylynarudyk@example.net
Лупій,Панас,Юхимович,Чоловік,10-04-1966,Фізик,хутір Хрестівка,"сквер Жуковського, буд. 4, Тальне, 80040",+380 81 438 82 68,iukhym30@example.net
Зінченко,Варфоломій,Валентинович,Чоловік,11-01-2001,Мовознавець,хутір Тернівка ,"вулиця Вузький, буд. 511 кв. 6, Прилуки, 40080",+380 91 782-40-91,matiashavhustyn@example.org
Ємець,Алевтин,Соломонович,Чоловік,26-03-1967,Державний службовець,хутір Кам'янське,"провулок Училищна, буд. 4 кв. 4, Хотин, 93510",523 25 67,karasanzhela@example.org
Девдюк,Франц,Августинович,Чоловік,30-11-1941,Різноробочий,місто Кропивницький,"площа Баштанна, буд. 2, Долинська, 49173",+380 64 584-52-95,priska17@example.net
Абрамчук,Веніямин,Остапович,Чоловік,28-05-1999,Стропальник,селище Корюківка,"парк Леваневського, буд. 79 кв. 9, Кременчук, 25661",+380 (95) 590-66-22,adanchuk@example.net
Абрамчук,Леопольд,Глібович,Чоловік,02-02-1997,Фармацевт,місто Нікополь,"шосе Щоголєва, буд. 040, Радивилів, 53471",+380 14 371-79-79,sofiiadrobakha@example.net
Канівець,Ігор,Борисович,Чоловік,06-12-1997,Біолог,село Новий Розділ,"провулок Кибальчича, буд. 5 кв. 76, Мар'їнка, 60679",+380 81 774 89 58,bohuslava29@example.org
Базилевський,Мартин,Артемович,Чоловік,23-05-1978,Медик,село Костянтинівка,"парк Висока, буд. 0 кв. 530, Сорокине, 04266",039-41-67,ieroshenkonestor@example.net
Кащенко,Симон,Олесьович,Чоловік,13-09-2001,Акушер,хутір Дніпрорудне,"узвіз Шептицікого, буд. 3 кв. 05, Червоносів, 78640",+380 (31) 458-90-07,mpiatachenko@example.net
Ґерета,Марко,Павлович,Чоловік,04-11-1942,Кінорежисер,місто Пустомити,"провулок Базарна, буд. 9 кв. 468, Монастирище, 37570",893 65 44,mykolai06@example.com
Дробаха,Валерій,Антонович,Чоловік,30-10-1970,Електротехнік,хутір Буськ,"шосе Самодіяльна, буд. 02 кв. 4, Бровари, 47399",361-07-67,turkalomykhailyna@example.com
Бараник,Федір,Єфремович,Чоловік,07-05-1980,Астроном,місто Нововолинськ,"сквер Дачна, буд. 8 кв. 041, Василівка , 10273",+380 (18) 880-46-10,iustynaiermolenko@example.net
Бабич,Герман,Миронович,Чоловік,07-05-1960,Петрограф,хутір Сторожинець,"провулок Тепла, буд. 0 кв. 2, Херсон, 20775",+380 60 720-13-12,omelianandrusenko@example.com
Василенко,Єлисей,Ігнатович,Чоловік,26-06-1976,Няня,селище Христинівка,"узвіз Берегова, буд. 72 кв. 4, Хрестівка, 80383",+380 31 433-23-82,nkorbut@example.org
Безбородько,Юстим,Ярославович,Чоловік,24-06-1963,Кіноактор,місто Снятин,"проспект Старопортофранківська, буд. 8, Балаклія, 50030",+380 93 454 66 56,hupalohordii@example.org
Деревʼянко,Панас,Дмитрович,Чоловік,21-07-1988,Швачка,село Петрово-Красносілля,"шосе Мариністів, буд. 4, Новояворівськ, 16685",943-44-54,davydenkoamaliia@example.org
Вахній,Назар,Яковович,Чоловік,26-06-1969,Кінорежисер,село Ізмаїл,"сквер Дачний 1-й, буд. 641 кв. 8, Корсунь-Шевченківський, 85405",515 61 66,saliihordii@example.com
Андрусенко,Охрім,Теодорович,Чоловік,06-05-1996,Мірошник,хутір Кодима,"площа Роздольна, буд. 79, Одеса, 29802",+380 (49) 045-81-70,amaliiaiakovenko@example.org
Яремко,Панас,Мирославович,Чоловік,25-01-1974,Географ,хутір Білопілля,"провулок Гаршина, буд. 9 кв. 9, Соснівка , 97599",194 52 89,bohuslavhabelko@example.com
Дейнека,Франц,Варфоломійович,Чоловік,03-05-1967,Антрополог,місто Мелітополь,"проспект Андрійця Олега, буд. 6, Вільногірськ, 76472",624-41-11,bivanenko@example.com
Батюк,Богуслав,Степанович,Чоловік,13-12-1939,Слідчий,місто Іллінці,"вулиця Мостовий, буд. 6 кв. 5, Чортків, 89859",+380 98 572 36 84,iustymnestaiko@example.net
Давимука,Онисим,Дмитрович,Чоловік,12-11-1986,Режисер,селище Іловайськ,"проспект Лермонтовський 2-й, буд. 133 кв. 295, Здолбунів, 57430",047 921-01-00,fchuiko@example.com
Валенко,Андрій,Євгенійович,Чоловік,07-05-1992,Менеджер,селище Пирятин,"узвіз Обсерваторний, буд. 682, Рогатин, 43618",+380 97 453 78 70,ohavriushenko@example.org
Хмара,Арсен,Прохорович,Чоловік,01-08-1938,Пекар,місто Хотин,"узвіз Мечникова, буд. 258 кв. 0, Пустомити, 26591",074-17-48,tetianaromanchuk@example.com
Даньків,Мирон,Максимович,Чоловік,15-11-2003,Шериф,місто Вишгород,"провулок Прохоровська, буд. 0 кв. 6, Кобеляки, 65297",099 317-01-80,xbevzenko@example.org
Ісаєвич,Олесь,Данилович,Чоловік,02-11-1989,Мікробіолог,селище Зоринськ,"площа Восьмого березня 1-й, буд. 322 кв. 2, Олевськ, 22960",050 990-89-46,iustym03@example.net
Засенко,Левко,Яковович,Чоловік,02-09-1938,Агроном,хутір Бурштин ,"сквер Мирна, буд. 89, Шостка, 70100",+380 53 825-63-49,adaonufriienko@example.net
Матвієнко,Вадим,Максимович,Чоловік,29-04-1992,Актор,селище Борзна,"площа Героїв Небесної Сотні, буд. 14, Міусинськ, 48262",736 66 70,krudyk@example.net
Бгиденко,Єлисей,Кирилович,Чоловік,15-11-1945,Агроном,місто Зимогір'я,"шосе Андрійця Олега, буд. 8 кв. 67, Федорівка, 87353",066 821-95-73,aaverchenko@example.com
Уманець,Симон,Ярославович,Чоловік,10-01-1961,Державний службовець,селище Люботин,"парк Вапняний 1-й, буд. 9, Новий Буг, 48615",+380 (84) 130-78-98,svitlanatelychenko@example.net
Акименко,Володимир,Яремович,Чоловік,07-03-1959,Музикознавець,місто Миколаївка ,"сквер Сухолиманна, буд. 300 кв. 5, Вільнянськ, 25793",086 521-98-07,stefanishchenko@example.net
Бандурка,Миколай,Макарович,Чоловік,29-06-2000,Філолог,селище Славутич,"площа 3-тя Суворовська, буд. 2 кв. 36, Кілія, 47841",+380 06 830 68 38,zubkoliubov@example.org
Чекалюк,Прохір,Арсенович,Чоловік,23-02-1998,Різноробочий,селище Березне,"набережна Лінія 55-та, буд. 814, Кременець, 29580",055 178-92-66,priska95@example.org
Царенко,Теодор,Сергійович,Чоловік,24-10-1982,Електромонтажник,село Гуляйполе,"сквер 11-та ст. Великого Фонтану пляж, буд. 0 кв. 0, Часів Яр, 50179",086 604 71 76,ievamatiash@example.com
Бабак,Аркадій,Демʼянович,Чоловік,25-11-1990,Хімік,місто Первомайськ,"узвіз Тимірязєва 5-й, буд. 823, Ватутіне, 50368",041 412-44-98,borys23@example.org
Дзиндра,Зиновій,Охрімович,Чоловік,06-12-2002,Епідеміолог,місто Рожище,"сквер Ватманський, буд. 96 кв. 241, Козятин, 33881",+380 24 179-76-43,zdubyna@example.com
Авдєєнко,Остап,Геннадійович,Чоловік,11-03-1968,Водій,село Липовець,"шосе 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 51 кв. 39, Ворожба, 97354",+380 (20) 497-63-63,eibozhenkoievhen@example.net
Гунько,Адам,Дмитрович,Чоловік,19-11-1969,Складальник,селище Новомосковськ,"парк Чорноморський 5-й, буд. 72 кв. 761, Чорнобиль, 71016",+380 81 753-56-11,iermolenkoarkadii@example.com
Затовканюк,Віктор,Остапович,Чоловік,05-11-2007,Фармацевт,село Трускавець,"шосе Байкал тупик, буд. 7 кв. 23, Новомосковськ, 62112",+380 31 708-66-66,azarandroshchuk@example.com
Яремків,Богодар,Михайлович,Чоловік,01-05-2004,Ді-джей,село Чорноморськ,"провулок Державіна, буд. 30, Вуглегірськ, 21604",+380 80 727-83-58,spetrenko@example.org
Петлюра,Станіслав,Остапович,Чоловік,24-11-1949,Гицель,селище Сміла,"сквер Скляний 2-й, буд. 002 кв. 831, Ірпінь, 43047",035 161-71-18,khrystychzorian@example.com
Захарченко,Вадим,Святославович,Чоловік,15-02-1959,Бізнесмен,місто Зоринськ,"провулок Аеропортівський 2-й, буд. 34, Звенигородка, 85556",733-77-73,italan@example.net
Шведченко,Михайло,Вадимович,Чоловік,04-03-1984,Конструктор,місто Баранівка,"сквер Ясна, буд. 299, Мукачево, 28926",218-36-50,pavlenkozakhar@example.com
Пилипенко,Пилип,Устимович,Чоловік,16-04-1966,Юрист,місто Рудки,"сквер Восьмого Березня Лінія 5-та, буд. 96 кв. 908, Тиврів, 70408",029 249 40 88,arkadiibezborodko@example.org
Карась,Віталій,Пантелеймонович,Чоловік,24-09-1961,Промисловець,хутір Дрогобич,"провулок Цимлянська, буд. 5, Вознесенськ, 86266",949-87-33,jdubas@example.org
Ісаєнко,Максим,Опанасович,Чоловік,02-02-1969,Клавішник,село Яготин,"узвіз Восьмого Березня Лінія 3-тя, буд. 223, Новогродівка, 90457",+380 40 355 30 16,ustenkomykyta@example.org
Редько,Мирон,Алевтинович,Чоловік,29-10-1975,Гінеколог,село Дружківка,"шосе Миколи Гумільова, буд. 326, Буча, 81454",+380 24 714-58-20,tymchukliudmyla@example.com
Кабалюк,Варфоломій,Тимофійович,Чоловік,19-05-1991,Правник,село Карлівка,"проспект Балтський 8-й, буд. 46 кв. 3, Молочанськ, 51451",+380 10 656-31-54,kbevz@example.com
Талан,Василь,Вадимович,Чоловік,23-11-1990,Піаніст,хутір Знам'янка,"узвіз Мічуріна, буд. 4 кв. 303, Горохів, 37022",574-45-58,myronturkalo@example.com
Аронець,Едуард,Степанович,Чоловік,09-07-1981,Продюсер,хутір Приморськ (Україна),"вулиця Михайла Жванецького, буд. 312, Кам'янка-Дніпровська, 78824",+380 76 704-30-18,eoberemko@example.org
Чабан,Трохим,Геннадійович,Чоловік,01-08-1995,Провізор,місто Вугледар,"узвіз Пересипський узвіз, буд. 902, Харцизьк, 61334",010 828-61-05,teslenkovioletta@example.net
Уманець,Віктор,Стефанович,Чоловік,02-02-2001,Фізик,місто Білопілля,"набережна Ремонтна, буд. 804 кв. 227, Красилів, 53232",336 67 96,onysymduplii@example.net
Ватаманюк,Вʼячеслав,Єлисейович,Чоловік,13-08-2004,Прокурор,місто Сарни,"парк Лавкова, буд. 392, Ясинувата, 28335",+380 80 763 62 54,erika84@example.com
Тарасенко,Амвросій,Олександрович,Чоловік,06-12-1941,Державний службовець,хутір Подільськ,"парк Травневий, буд. 386, Кілія, 61243",072 982 93 28,zasukhamariana@example.com
Артюх,Симон,Прохорович,Чоловік,25-12-1972,Громадський діяч,місто Борислав,"провулок Каховський, буд. 19 кв. 81, Армянськ, 75749",+380 41 731-04-16,mazurivan@example.net
Ажажа,Богдан,Павлович,Чоловік,01-05-1993,Петрограф,село Ірміно,"вулиця Проїзний 3-й, буд. 076 кв. 459, Жовті Води, 18245",199-84-53,iryna61@example.com
Арсенич,Федір,Хомович,Чоловік,10-02-1950,Стиліст,селище Ходорів,"вулиця Путьова, буд. 78, Іловайськ, 66159",074 596-48-35,arkadii47@example.com
Палій,Степан,Юхимович,Чоловік,27-02-2006,Електрослюсар,хутір Кременчук,"провулок Балтський 3-й, буд. 44 кв. 6, Кадіївка, 90531",+380 (56) 848-61-00,malyshkofedir@example.org
Доценко,Марко,Валерійович,Чоловік,09-06-1961,Антрополог,хутір Вишгород,"парк Віри Фігнер, буд. 513, Тиврів, 61024",750 37 96,ctereshchenko@example.net
Артюх,Федір,Устимович,Чоловік,29-04-2004,Сценарист,селище Покровськ,"вулиця Академіка Сахарова, буд. 9 кв. 4, Погребище, 99473",002 715-19-16,stepanmoskal@example.com
Сич,Георгій,Олегович,Чоловік,28-12-1980,Хореограф,місто Вишневе ,"шосе Водопровідний 3-й, буд. 14, Глобине, 05746",+380 55 821 65 03,qtaran@example.com
Олійник,Роман,Миколайович,Чоловік,07-11-1960,Ботанік,село Зборів,"вулиця Леваневського, буд. 607 кв. 1, Привілля, 86076",654-97-68,andriienkoliubov@example.net
Пелех,Арсен,Олексович,Чоловік,09-07-1951,Патологоанатом,село Запоріжжя,"вулиця Шевченка парк, буд. 37 кв. 156, Тернопіль, 87184",063 250-33-15,liashkovitalii@example.net
Єременко,Семен,Юстимович,Чоловік,08-06-1947,Дизайнер,місто Житомир,"проспект Юрія Олеші, буд. 70, Бориспіль, 38478",084 505-65-31,shynkarenkoborys@example.net
Фурс,Климент,Назарович,Чоловік,28-06-1970,Сантехнік,хутір Дніпро ,"вулиця Рибальська, буд. 63, Чоп, 87660",080 494-47-39,boryssirchenko@example.com
Стець,Аркадій,Опанасович,Чоловік,11-01-2002,Флорист,місто Радомишль,"площа Трудова, буд. 42, Деражня, 84317",+380 63 204 36 80,opanasriabovil@example.org
Охріменко,Сергій,Панасович,Чоловік,27-04-1974,Бібліотекар,село Яремче,"узвіз Мала Садова, буд. 168, Долина , 58879",064 684 71 12,tryhubvasyl@example.com
Лубенець,Семен,Гаврилович,Чоловік,05-05-1954,Швачка,місто Іловайськ,"парк Донцова Дмитра, буд. 02 кв. 55, Подільськ, 45418",819 53 26,jhaidai@example.net
Шухевич,Макар,Болеславович,Чоловік,01-03-1985,Етнограф,місто Острог,"вулиця Хлібна гавань, буд. 819 кв. 02, Севастополь, 56043",304-95-23,hennadiifilipenko@example.org
Корсун,Ярема,Тимофійович,Чоловік,13-03-1986,Промисловець,місто Перевальськ,"шосе Сосюри, буд. 00 кв. 18, Славутич, 81587",693-00-36,valerii98@example.com
Хомик,Леонтій,Олексович,Чоловік,10-11-1986,Музикант,місто Енергодар,"сквер Посівна, буд. 250 кв. 02, Привілля, 64560",+380 (86) 685-71-05,yverkhovynets@example.org
Кабалюк,Валерій,Стефанович,Чоловік,27-01-1996,Мовознавець,селище Біла Церква,"набережна Будівельна, буд. 12 кв. 63, Вільнянськ, 37652",+380 37 551-55-53,emiliia07@example.com
Чорновіл,Трохим,Максимович,Чоловік,24-01-1998,Клавішник,хутір Сулимівка (Слов'янськ),"проспект Мукачівський, буд. 03, Алмазна, 65141",+380 (18) 445-14-69,datsenkoomelian@example.net
Рубець,Мартин,Климентович,Чоловік,08-08-1945,Публіцист,село Дубно,"вулиця Парашутний, буд. 015 кв. 65, Верхівцеве, 27100",+380 (50) 462-86-23,albertlytvynenko@example.org
Їжакевич,Федір,Остапович,Чоловік,28-02-1986,Ветеринар,селище Корець,"узвіз Скидановський узвіз, буд. 834 кв. 6, Калинівка , 42389",903-78-21,wnikoliuk@example.org
Гоголь-Яновський,Олександр,Зиновійович,Чоловік,06-02-1960,Музикознавець,місто Канів,"шосе Краснослобідський, буд. 98 кв. 16, Прип'ять , 70570",032 543 65 32,lemeshkoadam@example.net
Царенко,Левко,Володимирович,Чоловік,12-02-1996,Електромонтажник,хутір Міусинськ,"шосе Діхтієвського Віктора, буд. 5, Городок, 07818",071 638 50 45,baklanviktor@example.com
Ляшко,Ярослав,Едуардович,Чоловік,01-11-1985,Випробувач,місто Могилів-Подільський,"парк Зелена балка, буд. 27 кв. 6, Перечин, 67566",881-20-76,sviatoslav76@example.org
Оробець,Роман,Романович,Чоловік,28-04-1970,Маркетолог,село Харцизьк,"провулок Український 1-й, буд. 24, Рені, 71520",+380 82 389-05-36,sviatoslava22@example.org
Бевзенко,Федір,Ростиславович,Чоловік,17-06-1966,Астронавт,хутір Устилуг,"шосе Курортний, буд. 11, Хорол , 91765",+380 88 596-40-73,baranleopold@example.net
Ґалаґан,Ігнат,Леонтійович,Чоловік,14-04-1941,Ріелтор,хутір Старий Крим,"площа Заводська 5-та, буд. 65 кв. 25, Торецьк, 67955",+380 80 780-45-28,nataliia91@example.net
Щербак,Адам,Пилипович,Чоловік,08-02-1960,Слідчий,місто Бахчисарай,"сквер Перемоги, буд. 64 кв. 945, Новомиргород, 46093",+380 41 243-33-12,leon80@example.org
Іваничук,Гліб,Макарович,Чоловік,15-02-1939,Кінорежисер,хутір Кременець,"площа Покровський, буд. 349, Монастирище, 32980",+380 24 047 58 63,fursmarta@example.com
Авраменко,Віктор,Володимирович,Чоловік,09-05-2008,Хімік,селище Великі Мости,"парк Канатна, буд. 61 кв. 558, Волочиськ, 59746",011 570-62-37,viterparmen@example.org
Зінченко,Демид,Охрімович,Чоловік,17-07-1999,Нотаріус,місто Сокиряни,"проспект Водопровідний 3-й, буд. 44, Миколаївка , 33402",+380 (75) 066-09-22,iaroslavadevdiuk@example.org
Бевзенко,Ігнат,Дмитрович,Чоловік,25-07-1977,Круп'є,хутір Городенка,"сквер Пироговський, буд. 11 кв. 315, Богуслав, 10580",070 081 10 64,frankoiefrem@example.net
Лемешко,Борис,Несторович,Чоловік,06-07-1992,Кінорежисер,хутір Первомайський ,"провулок Пересипська 8-ма, буд. 383 кв. 6, Золотоноша, 74129",315-77-52,babychenkohanna@example.com
Оберемко,Максим,Геннадійович,Чоловік,15-09-1966,Піаніст,селище Балаклія,"сквер Самодіяльна, буд. 60 кв. 974, Кам'янське, 02448",044 391 01 96,hermankashchenko@example.org
Макаренко,Пармен,Прохорович,Чоловік,07-07-1955,М'ясник,місто Великі Мости,"провулок 12-та ст. Великого Фонтану пляж, буд. 4 кв. 830, Васильків, 11660",+380 19 018-38-48,boleslav44@example.net
Ярош,Борислав,Опанасович,Чоловік,18-04-1963,Перекладач,хутір Мерефа,"провулок Анни Ахматової, буд. 7, Золотоноша, 63108",021 534-12-79,taras46@example.net
Мазур,Ігнат,Михайлович,Чоловік,20-09-1994,Юрист,місто Дружба ,"парк Кільовий, буд. 5 кв. 4, Тисмениця, 09713",035 353-99-39,arkhymovychanita@example.com
Ісаєнко,Прохір,Венедиктович,Чоловік,14-02-1994,Акушер,селище Пологи ,"набережна Леха Качинського, буд. 7, Люботин, 06249",467-73-21,artem18@example.net
Перепелиця,Мирослав,Несторович,Чоловік,01-10-1993,Піаніст,місто Путивль,"площа Сирітський 2-й, буд. 8, Вовчанськ, 63063",+380 (42) 057-72-51,ftytarenko@example.net
Вовк,Захар,Владиславович,Чоловік,14-01-1971,Ріелтор,селище Куп'янськ,"парк Чубаївська, буд. 19, Маріуполь, 35262",+380 89 671-60-81,leon70@example.com
Гук,Вадим,Єлисейович,Чоловік,10-10-1938,Соціолог,село Світловодськ,"набережна Академіка Богатського, буд. 9, Міусинськ, 06627",+380 01 751-30-07,jbashtan@example.com
Вдовенко,Богодар,Вадимович,Чоловік,17-05-1984,Кінолог,хутір Копичинці,"проспект Училищна, буд. 8 кв. 3, Перечин, 27224",585-60-89,bairakfedir@example.net
Ящук,Альберт,Хомович,Чоловік,04-07-1938,Стиліст,селище Буринь,"парк Гвардійська, буд. 224, Каховка, 89271",+380 (54) 741-50-31,zakharenkoieva@example.com
Батуринець,Вʼячеслав,Омелянович,Чоловік,28-01-1982,Футболіст,селище Саки ,"парк Ольгіївський узвіз, буд. 86 кв. 790, Дубровиця, 41448",072 681 48 01,sirkovira@example.net
Москаль,Онисим,Ростиславович,Чоловік,30-12-2006,Модельєр,місто Мелітополь,"провулок Ясна, буд. 12, Самбір, 44699",+380 (30) 445-39-48,azarkaras@example.org
Стельмах,Валерій,Яремович,Чоловік,13-12-2000,Науковець,хутір Теребовля,"парк Лермонтовський, буд. 316 кв. 225, Жданівка, 19614",056-09-47,riatseniuk@example.net
